,Price,Product,id,Text,Star,Text_Clean,Standardized_Text,Padded_Text,Sentiment_Prediction_Raw,Sentiment_Prediction
2464,1399,boAt Rockerz 255,1,"There is a ridiculous delay between when you do something on your phone and when it's sound actually reflects in the earphones it's just unusable
",1,there is a ridiculous delay between when you do something on your phone and when its sound actually reflects in the earphones its just unusable,ridicul delay someth phone sound actual reflect earphon unus,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0 437 520  37   3]",2,neutral
10638,6499,Sennheiser CX 6.0BT,8,"If u r looking for bass then don't...  N if u r looking for clear vocal music then go for it.
",3,if u r looking for bass then dont n if u r looking for clear vocal music then go for it,u r look bass dont n u r look clear vocal music go,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0  74 314   6 184  74 314  96 366  29  46]",1,good
4171,1399,boAt Rockerz 255,1,"Good
",5,good,good,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 2]",1,good
4850,1399,boAt Rockerz 255,1,"Build and sound both quality is poor. There are many options at this price.
",2,build and sound both quality is poor there are many options at this price,build sound qualiti poor mani option price,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0  93   3  40 437  14]",0,bad
5874,1999,JBL T205BT,7,"The product from JBL is not of good built quality. I am using it around 1 month the left side rubber got damaged it is not at al a replaceable one so you can't fix it. And right ear speaker is not working properly. I suggest all of you don't buy this product. And now ithe return window is closed so am unable to return it. Waste of money. Never ever buy this.
",1,the product from jbl is not of good built quality i am using it around month the left side rubber got damaged it is not at al a replaceable one so you cant fix it and right ear speaker is not working properly i suggest all of you dont buy this product and now ithe return window is closed so am unable to return it waste of money never ever buy this,product jbl not good built qualiti use around month left side rubber got damag not al replac one cant fix right ear speaker not work properli suggest dont buy product ith return window close unabl return wast money never ever buy,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   5  47   1   2 204 159  13 131  39 381
  52   1  10 450 109  12 165   1 246  15   5  60 540  60  42 205 197  15]",0,bad
12774,2000,JBL T110BT,10,"I have used it for 15 days and the microphone stopped working just after the return period got over what I am suppose to do now.
",1,i have used it for days and the microphone stopped working just after the return period got over what i am suppose to do now,use day microphon stop work return period got suppos,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  60 308  52 800]",0,bad
10735,6499,Sennheiser CX 6.0BT,8,"Bass is very poor doesn't reach Sennheiser standard
",2,bass is very poor doesnt reach sennheiser standard,bass poor doesnt reach sennheis standard,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   6  40 501 906]",0,bad
30,1399,boAt Rockerz 255,1,"Boat blue tooth 255, ye doubt Voice quality is amazing for 30 days or so you will be big FAN or Boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one sideBoat Service on same again so pathetic , raise an complaint almost 10days back  for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days Boat will take to repair... Big Suggestion DO NOT BUY THIS
",2,boat blue tooth ye doubt voice quality is amazing for days or so you will be big fan or boat but after voice from of the side going down and even after days you will not be able to hear anything from one sideboat service on same again so pathetic raise an complaint almost back for replacement or rapair but after its reaches to their rapir center not sure how many more days boat will take to repair big suggestion do not buy this,boat blue tooth ye doubt voic qualiti amaz day big fan boat voic side go even day not abl hear anyth one sideboat servic pathet rais complaint almost back replac rapair reach rapir center not sure mani day boat take repair big suggest not buy,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0  55 502 819 717 406 219 607
  55  39  27   1  82  10 549 279 117 333   1 262  55 128 421 219   1  15]",0,bad
2964,1399,boAt Rockerz 255,1,"Bluetooth connectivity is not good, some times it automatically disconnect also in incoming call they automatically cut the some calls.
",4,bluetooth connectivity is not good some times it automatically disconnect also in incoming call they automatically cut the some calls,bluetooth connect not good time automat disconnect also incom call automat cut call,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0  38   1   2 112  20  16 730]",0,bad
8828,6499,Sennheiser CX 6.0BT,8,"As usual intime delivery from Amazon. I had the same product & lost it. So bought the same again from amazon. Product is awesome & dont think twice if your looking for a good quality & output go with senheiser.
",5,as usual intime delivery from amazon i had the same product lost it so bought the same again from amazon product is awesome dont think twice if your looking for a good quality output go with senheiser,usual intim deliveri amazon product lost bought amazon product awesom dont think twice look good qualiti output go senheis,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0 686  65   5 402  57  65   5  28 140 593 520   2 209  46]",2,neutral
2174,1399,boAt Rockerz 255,1,"Bluetooth connectivity is deteriorated. Doesn't work effectively at all. Even its hard and uncomfortable when put in ears for a longer time.
",2,bluetooth connectivity is deteriorated doesnt work effectively at all even its hard and uncomfortable when put in ears for a longer time,bluetooth connect deterior doesnt work effect even hard uncomfort put ear longer time,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0  38   7  27 456 277 497  33]",0,bad
10060,6499,Sennheiser CX 6.0BT,8,"Not worth
",3,not worth,not worth,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1 53]",0,bad
14084,2000,JBL T110BT,10,"Loved the carlity and bass of the eaphones. Worth the buy!!
",4,loved the carlity and bass of the eaphones worth the buy,love carliti bass eaphon worth buy,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6 53 15]",1,good
6732,1999,JBL T205BT,7,"It is failure piece
",1,it is failure piece,failur piec,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1,good
10098,6499,Sennheiser CX 6.0BT,8,"Good quality. I am using it since more thn a year now. Works absolutely fine. No issues at all. Just love it.
",5,good quality i am using it since more thn a year now works absolutely fine no issues at all just love it,good qualiti use sinc thn year work absolut fine issu love,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2  76 124 111]",1,good
3814,1399,boAt Rockerz 255,1,"Wire too lengthy and real prob can't adjust an equilizer in music and sometimes distortion sound during call
",1,wire too lengthy and real prob cant adjust an equilizer in music and sometimes distortion sound during call,wire lengthi real prob cant adjust equil music sometim distort sound call,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0  24 729 278  29   3  16]",1,good
13711,2000,JBL T110BT,10,"working well
",5,working well,work well,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 73]",1,good
6182,1999,JBL T205BT,7,"Amazing voice quality..Feels little harsh to the ears as hard plastic is used for the bud
",5,amazing voice quality feels little harsh to the ears as hard plastic is used for the bud,amaz voic qualiti feel littl harsh ear hard plastic use bud,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0 947 456 514 103]",0,bad
7904,6499,Sennheiser CX 6.0BT,8,"Sound is ok.nothing special.Microphone is horrible,no noise cancellation at all.not worth the price.I want my money back.and why no return or refund option.only replace option is there.I don't want the same thing again.
",2,sound is ok nothing special microphone is horrible no noise cancellation at all not worth the price i want my money back and why no return or refund option only replace option is there i dont want the same thing again,sound ok noth special microphon horribl nois cancel not worth price want money back return refund option replac option dont want thing,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   3  56 641   1  53  14  98  42 117  60 293 162 162 437  98 132]",0,bad
6193,1999,JBL T205BT,7,"The flap on earbud came off with less than a month of use and the customer service is terrible. No warranty honored.
",1,the flap on earbud came off with less than a month of use and the customer service is terrible no warranty honored,flap earbud came less month use custom servic terribl warranti honor,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0 169 425 151  13   9]",2,neutral
554,1399,boAt Rockerz 255,1,"After using for 2 days when the battery got fully drained i kept it on chargin.Now it doesnt turns on after chargin is disconnected.but it turns  on and off while connected to charging.Bad piece of hardware which couldnt stand for even 2 days.Not a good experience for sure.If others are facing the same donot buy!
",1,after using for days when the battery got fully drained i kept it on chargin now it doesnt turns on after chargin is disconnected but it turns on and off while connected to charging bad piece of hardware which couldnt stand for even days not a good experience for sure if others are facing the same donot buy,use day batteri got fulli drain kept chargin doesnt turn chargin disconnect turn connect charg bad piec hardwar couldnt stand even day not good experi sure other face donot buy,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0  52 458  88  25 616 712  27   1   2 262  15]",0,bad
11877,6499,Sennheiser CX 6.0BT,8,"Gud
",5,gud,gud,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 364]",1,good
13025,2000,JBL T110BT,10,"Excellent Quality Product, Pricing and Product delivery were good.
",4,excellent quality product pricing and product delivery were good,excel qualiti product price product deliveri good,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 5 5 2]",1,good
6780,1999,JBL T205BT,7,"Mic problem
",5,mic problem,mic problem,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 34 62]",0,bad
12347,3699,Skullcandy S2PGHW-174,9,"I have using this product for 4 days now.Sound quality is as expected,No issue about it at all.Battery Back up is also good around 6 hrs, gets charge quickly.Call communication is also loud & clear no prob at all.Fits very well ..Only thing is bluetooth range it works fine in same room or if phone is in direct sight. If any obstacles are there in between then only it drops connectivity.
",4,i have using this product for days now sound quality is as expected no issue about it at all battery back up is also good around hrs gets charge quickly call communication is also loud clear no prob at all fits very well only thing is bluetooth range it works fine in same room or if phone is in direct sight if any obstacles are there in between then only it drops connectivity,use product day sound qualiti expect issu batteri back also good around hr get charg quickli call commun also loud clear prob fit well thing bluetooth rang work fine room phone direct sight obstacl drop connect,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   5   3 117  20   2 159  16  20 244  96  73 132  38 124 361  37 437]",1,good
7473,6499,Sennheiser CX 6.0BT,8,"The mids and highs are very clear and bass is decent in short the songs doesn't appear muddy as I can distinguish the mids hugs and lows that's the best thing about em but one thing I don't like is the quality idk it appears quite basic but still can't say about it as it's working fine till now just appears cheap.
",4,the mids and highs are very clear and bass is decent in short the songs doesnt appear muddy as i can distinguish the mids hugs and lows thats the best thing about em but one thing i dont like is the quality idk it appears quite basic but still cant say about it as its working fine till now just appears cheap,mid high clear bass decent short song doesnt appear muddi distinguish mid hug low that best thing em one thing dont like qualiti idk appear quit basic still cant say work fine till appear cheap,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0  96   6 108 430 803  32 132  10 132  19 499 156 152 124 305 231]",1,good
7572,6499,Sennheiser CX 6.0BT,8,"One of the best noise-free earphones in this range. Totally fits in my ear and unlike other earphones i tried this doesn't cause any pain if used for long hours.
",4,one of the best noise free earphones in this range totally fits in my ear and unlike other earphones i tried this doesnt cause any pain if used for long hours,one best nois free earphon rang total fit ear unlik earphon tri doesnt caus pain use long hour,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0  10  32 258  12 480 148  80]",1,good
4266,1399,boAt Rockerz 255,1,"Good product.. however sound quality could have been better. Battery would only last for 2 hours
",4,good product however sound quality could have been better battery would only last for hours,good product howev sound qualiti could better batteri would last hour,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   2   5   3 158  26  89  64]",1,good
12813,2000,JBL T110BT,10,"Good one
",4,good one,good one,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2 10]",1,good
